#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101050804 tl tieli 铁力 伊春 黑龙江
CN101050805 jy jiayin 嘉荫 伊春 黑龙江
CN101050901 dq daqing 大庆 大庆 黑龙江
CN101050902 ld lindian 林甸 大庆 黑龙江
CN101050903 zz zhaozhou 肇州 大庆 黑龙江
CN101050904 zy zhaoyuan 肇源 大庆 黑龙江
CN101050905 debt duerbote 杜尔伯特 大庆 黑龙江
CN101051002 qth qitaihe 七台河 七台河 黑龙江
CN101051003 bl boli 勃利 七台河 黑龙江
CN101051101 jx jixi 鸡西 鸡西 黑龙江
CN101051102 hl hulin 虎林 鸡西 黑龙江
CN101051103 ms mishan 密山 鸡西 黑龙江
CN101051104 jd jidong 鸡东 鸡西 黑龙江
CN101051201 hg hegang 鹤岗 鹤岗 黑龙江
CN101051202 sb suibin 绥滨 鹤岗 黑龙江
CN101051203 lb luobei 萝北 鹤岗 黑龙江
CN101051301 sys shuangyashan 双鸭山 双鸭山 黑龙江
CN101051302 jx jixian 集贤 双鸭山 黑龙江
CN101051303 bq baoqing 宝清 双鸭山 黑龙江
CN101051304 rh raohe 饶河 双鸭山 黑龙江
CN101051305 yy youyi 友谊 双鸭山 黑龙江
CN101060101 cc changchun 长春 长春 吉林
CN101060102 na nongan 农安 长春 吉林
CN101060103 dh dehui 德惠 长春 吉林
CN101060104 jt jiutai 九台 长春 吉林
CN101060105 ys yushu 榆树 长春 吉林
CN101060106 sy shuangyang 双阳 长春 吉林
CN101060201 jl jilin 吉林 吉林 吉林
CN101060202 sl shulan 舒兰 吉林 吉林
CN101060203 yj yongji 永吉 吉林 吉林
CN101060204 jh jiaohe 蛟河 吉林 吉林
CN101060205 ps panshi 磐石 吉林 吉林
CN101060206 hd huadian 桦甸 吉林 吉林
CN101060301 yj yanji 延吉 延边 吉林
CN101060302 dh dunhua 敦化 延边 吉林
CN101060303 at antu 安图 延边 吉林
CN101060304 wq wangqing 汪清 延边 吉林
CN101060305 hl helong 和龙 延边 吉林
CN101060307 lj longjing 龙井 延边 吉林
CN101060308 hc hunchun 珲春 延边 吉林
CN101060309 tm tumen 图们 延边 吉林
CN101060401 sp siping 四平 四平 吉林
CN101060402 sl shuangliao 双辽 四平 吉林
CN101060403 ls lishu 梨树 四平 吉林
CN101060404 gzl gongzhuling 公主岭 四平 吉林
CN101060405 yt yitong 伊通 四平 吉林
CN101060501 th tonghua 通化 通化 吉林
CN101060502 mhk meihekou 梅河口 通化 吉林
CN101060503 lh liuhe 柳河 通化 吉林
CN101060504 hn huinan 辉南 通化 吉林
CN101060505 ja jian 集安 通化 吉林
CN101060506 thx tonghuaxian 通化县 通化 吉林
CN101060601 bc baicheng 白城 白城 吉林
CN101060602 tn taonan 洮南 白城 吉林
CN101060603 da daan 大安 白城 吉林
CN101060604 zl zhenlai 镇赉 白城 吉林
CN101060605 ty tongyu 通榆 白城 吉林
CN101060701 ly liaoyuan 辽源 辽源 吉林
CN101060702 df dongfeng 东丰 辽源 吉林
CN101060703 dl dongliao 东辽 辽源 吉林
CN101060801 sy songyuan 松原 松原 吉林
CN101060802 qa qianan 乾安 松原 吉林
CN101060803 qg qianguo 前郭 松原 吉林
CN101060804 cl changling 长岭 松原 吉林
CN101060805 fy fuyu 扶余 松原 吉林
CN101060901 bs baishan 白山 白山 吉林
CN101060902 jy jingyu 靖宇 白山 吉林
CN101060903 lj linjiang 临江 白山 吉林
CN101060904 dg donggang 东岗 白山 吉林
CN101060905 cb changbai 长白 白山 吉林
CN101060906 fs fusong 抚松 白山 吉林
CN101060907 jy jiangyuan 江源 白山 吉林
CN101070101 sy shenyang 沈阳 沈阳 辽宁
CN101070103 lz liaozhong 辽中 沈阳 辽宁
CN101070104 kp kangping 康平 沈阳 辽宁
CN101070105 fk faku 法库 沈阳 辽宁
CN101070106 xm xinmin 新民 沈阳 辽宁
CN101070201 dl dalian 大连 大连 辽宁
CN101070202 wfd wafangdian 瓦房店 大连 辽宁
CN101070203 jz jinzhou 金州 大连 辽宁
CN101070204 pld pulandian 普兰店 大连 辽宁
CN101070205 ls lvshun 旅顺 大连 辽宁
CN101070206 ch changhai 长海 大连 辽宁
CN101070207 zh zhuanghe 庄河 大连 辽宁
CN101070301 as anshan 鞍山 鞍山 辽宁
CN101070302 ta taian 台安 鞍山 辽宁
CN101070303 xy xiuyan 岫岩 鞍山 辽宁
CN101070304 hc haicheng 海城 鞍山 辽宁
CN101070401 fs fushun 抚顺 抚顺 辽宁
CN101070402 xb xinbin 新宾 抚顺 辽宁
CN101070403 qy qingyuan 清原 抚顺 辽宁
CN101070404 zd zhangdang 章党 抚顺 辽宁
CN101070501 bx benxi 本溪 本溪 辽宁
